timestamp,lp_token_total_supply,lp_token_virtual_price,pool_balance_0,pool_balance_1,block,pool_balance_market_0,pool_balance_market_1,market_eth_tvl,pool_balance_market_portion_0,pool_balance_market_portion_1,lp_token_market_eth_value,pool_balance_equilibrium_0,pool_balance_equilibrium_1,equilibrium_eth_tvl,pool_balance_equilibrium_portion_0,pool_balance_equilibrium_portion_1,lp_token_equilibrium_eth_value,lp_token_discount_percent,raw_base_apr,raw_fee_apr,raw_incentive_apr,raw_price_apr,tokens,pool_address,upper_bound_nav_percent
2022-01-02,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-08,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-09,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-15,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
2022-01-16,,,,,,,,,,,,,,,,,,,,,,,"['0xEeeeeEeeeEeEeeEeEeEeeEEEeeeeEeeeeeeeEEeE', '0x5E8422345238F34275888049021821E8E08CAa1f']",0xa1F8A6807c402E4A15ef4EBa36528A3FED24E577,100.0
