timestamp,block,tokens,balances,lastChangeBlock,lp_token_virtual_price,lp_token_total_supply,protocol_swap_fee_percent,pool_balance_1,pool_balance_2,pool_balance_3,pool_balance_market_1,pool_balance_market_2,pool_balance_market_3,market_eth_tvl,pool_balance_market_portion_1,pool_balance_market_portion_2,pool_balance_market_portion_3,lp_token_market_eth_value,pool_balance_equilibrium_1,pool_balance_equilibrium_2,pool_balance_equilibrium_3,equilibrium_eth_tvl,pool_balance_equilibrium_portion_1,pool_balance_equilibrium_portion_2,pool_balance_equilibrium_portion_3,lp_token_equilibrium_eth_value,lp_token_discount_percent,raw_base_apr,raw_fee_apr,raw_incentive_apr,raw_price_apr,pool_address
2023-02-21,16673185.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429267250641025856243919743' '750991329632182635364'
 '754469245520624648247' '436115643984784605526']",16672648.0,1.0011849798803047,2064.513629802945,0.5,750.9913296321827,754.4692455206247,436.1156439847846,833.5142898266414,770.7223542952114,467.9772536317633,2072.213897753616,0.40223371280841846,0.371931852754541,0.22583443443704057,1.0037298218037949,834.148343397293,772.1466260741053,462.0415765156271,2068.3365459870256,0.4032943018947776,0.37331769221610456,0.22338800588911775,1.0018517272682987,0.18746232445164865,2.9805465304953764,2.385091413745141,12.643264739974148,-0.18746232445167083,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
2023-02-22,16680300.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429267219517791475478795429' '805097746036808661525'
 '779162403015420978191' '464260142522298270101']",16679443.0,1.0012639738361262,2179.6674536988567,0.5,805.0977460368086,779.162403015421,464.2601425222983,892.781880140534,796.3843377361405,498.18245249849303,2187.348670375168,0.40815709549744833,0.3640865987769325,0.22775630572561906,1.003524031458687,894.3703150509365,797.580249963911,491.90615750400127,2183.856722518849,0.40953708447474263,0.3652163815234115,0.22524653400184572,1.0019219761312137,0.15989821220006503,2.780623943702365,0.099242859560706,10.816816478713651,-0.159898212200069,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
2023-02-23,16687396.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429267219517791475478795429' '816133058984411193971'
 '790643815722127379215' '470519260550670681973']",16685662.0,1.0013382801494133,2210.413406925551,0.5,816.1330589844112,790.6438157221273,470.5192605506707,905.8813546308742,808.1195257012157,503.9473544609839,2217.9482347930734,0.4084321448175681,0.36435454760584635,0.2272133075765857,1.0034087867201287,906.7624294459025,809.5007092215957,498.63507416516507,2214.8982128326634,0.40939237035467724,0.3654798692470451,0.2251277603982776,1.0020289444015589,0.13770483640009862,2.940128653498969,0.0,17.150080232265246,-0.13770483640012443,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
2023-02-24,16694514.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429267210557907725342125762' '960743343493244693141'
 '931780909328647188252' '548037948770300348755']",16694229.0,1.0014479538860135,2597.1204154394995,0.5,960.7433434932447,931.7809093286472,548.0379487703003,1065.7270986927413,965.7538095303782,587.0820582005515,2618.5629664236712,0.4069892961742558,0.36881061174151036,0.2242000920842338,1.0082562790915273,1067.579198439648,954.2274775391464,580.8391559927851,2602.6458319715794,0.41018996335391744,0.36663746784797513,0.22317256879810754,1.0021275164983618,0.6115751231520479,3.0158291778868587,0.9819121102121642,12.915315077456547,-0.6115751231520359,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
2023-02-25,16701599.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429267134003999712177773492' '1048554987646549242426'
 '1020981475773818396395' '655384691188455864125']",16700880.0,1.0015422198538335,2899.912879010929,0.5,1048.5549876465493,1020.9814757738184,655.3846911884559,1163.9142484417343,1058.206644734697,702.1353473858934,2924.256240562325,0.3980206085558075,0.36187206512764675,0.24010732631654574,1.0083945147895956,1165.3070079639326,1045.8198531593353,694.6748983788984,2905.8017595021665,0.40102770402464677,0.3599075022029408,0.23906479377241235,1.00203070945126,0.6350908488444122,3.039976741121131,0.39575630129983486,17.087047901791788,-0.6350908488444191,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
2023-02-26,16708711.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429266834000481676265744808' '1308190164115119758835'
 '1133947501445628636318' '783396364461617695870']",16708410.0,1.0016451252415945,3438.7992486259773,0.5,1308.1901641151198,1133.9475014456286,783.3963644616177,1452.0054152214577,1166.0971022943622,839.5083087820642,3457.610826297884,0.41994472141798034,0.33725516284981094,0.24280011573220875,1.005470391352279,1454.032401090629,1161.8010386809506,830.4462447353724,3446.2796845069524,0.42191363853240266,0.3371174556446847,0.2409689058229125,1.0021753046165647,0.3287934476668156,2.8579879620697,0.8922749612704961,15.014263589814899,-0.3287934476668316,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
2023-02-27,16715830.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429266834003116196228014795' '1498423149149459832695'
 '1310445069810133461454' '988918782648540077629']",16715480.0,1.0017281997346958,4048.546990689904,0.5,1498.4231491494597,1310.4450698101334,988.9187826485401,1665.9661255642675,1347.0295381236235,1059.1968461230304,4072.1925098109214,0.4091078998722536,0.33078729330165396,0.2601048068260925,1.0058404951641646,1665.6652042579947,1342.9351609123025,1048.506083013535,4057.106448183832,0.41055496707601336,0.3310081157750911,0.2584369171488956,1.002114204803257,0.37184288407918864,2.9036802848609713,0.1235585263557506,12.42347871449564,-0.3718428840791804,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
2023-02-28,16722963.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429266834003116196228014795' '1474300662439544963288'
 '1526942345471313178903' '957875420375746135398']",16722441.0,1.0018218249770166,4210.278418295582,0.5,1474.300662439545,1526.9423454713133,957.8754203757461,1637.0082947987564,1562.661897959241,1026.2937854094664,4225.963978167464,0.38736920221185234,0.36977643586940123,0.24285436191874635,1.003725539813168,1639.0329021019502,1565.1321631756207,1015.684354501076,4219.849419778647,0.3884102817554865,0.37089763341785786,0.24069208482665572,1.0022732466911153,0.14489991894398163,2.8878839395967395,0.5235417800853086,13.814952713512973,-0.14489991894398097,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
2023-03-01,16730072.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429266742955016337061289153' '1732808230179255515417'
 '1763867175833435331981' '1124649086622746395082']",16729088.0,1.0019175507890505,4916.041543179003,0.5,1732.8082301792556,1763.8671758334353,1124.6490866227464,1928.0501279194425,1797.925618020093,1201.5864832823154,4927.56222922185,0.3912786968951006,0.3648712150925017,0.2438500880123978,1.0023434883415157,1926.6676008456939,1808.3620829337726,1192.6289743889881,4927.658658168455,0.3909904752943684,0.3669820108046844,0.2420275139009471,1.002363103502567,-0.0019568917673527045,2.818897650169111,0.66874062255535,12.435744292340086,0.001956891767331298,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
2023-03-02,16737190.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429266987170005424011318155' '1551722856408945750888'
 '1775933330430688267208' '1142613277858653899276']",16736070.0,1.0020012546298693,4747.399672785573,0.5,1551.7228564089457,1775.9333304306883,1142.6132778586539,1724.6278220933025,1819.4023948019726,1220.654180640602,4764.684397535877,0.36196055776227654,0.38185160715847244,0.256187835079251,1.0036408825760739,1725.534224552038,1821.11155154718,1211.803294082026,4758.449070181244,0.36262534264894725,0.38271115749859563,0.2546634998524571,1.0023274630655201,0.13103696735364145,2.6981477963568703,0.3511951236068489,12.34809288728474,-0.13103696735364517,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
2023-03-03,16744289.0,"['0x5aEe1e99fE86960377DE9f88689616916D5DcaBe', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['2596148429266947469084249383556604' '1596377777585776987072'
 '1783332222343078562497' '1203148785610163294683']",16743300.0,1.00207454997169,4869.175167315939,0.5,1596.377777585777,1783.3322223430785,1203.1487856101633,1774.561268594271,1825.1582267773938,1285.1302060070473,4884.849701378712,0.3632785811390296,0.37363651664907044,0.2630849022119,1.003219135382105,1775.4261127034379,1829.014666933486,1276.1243936798687,4880.565173316792,0.36377469609669666,0.37475468557066777,0.26147061833263563,1.0023392064588903,0.08778753914289143,2.6436821063955054,0.02625464677375655,11.829285158613406,-0.08778753914288598,0x5aEe1e99fE86960377DE9f88689616916D5DcaBe
