timestamp,block,tokens,balances,lastChangeBlock,rate,lp_token_total_supply,invariant_data,protocol_swap_fee_percent,lastInvariant,amplificationParameter,unscaled_invariant,delta,scaled_invariant,lp_token_virtual_price,pool_balance_0,pool_balance_1,pool_balance_market_0,pool_balance_market_1,market_eth_tvl,pool_balance_market_portion_0,pool_balance_market_portion_1,lp_token_market_eth_value,pool_balance_equilibrium_0,pool_balance_equilibrium_1,equilibrium_eth_tvl,pool_balance_equilibrium_portion_0,pool_balance_equilibrium_portion_1,lp_token_equilibrium_eth_value,lp_token_discount_percent,raw_base_apr,raw_fee_apr,raw_incentive_apr,raw_price_apr,pool_address,upper_bound_nav_percent
2023-03-15,16829610.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1745495615982390097630' '608522494232231536232'],16829436.0,1001877901269941724,2412.9991008245165,['2417447661712959903687' '50000'],0.5,2417447661712959903687,50000,2417530474900323147981,8.281318736324429e+16,2.4174890683066415e+21,1.0018607414650882,1745.49561598239,608.5224942322316,1758.4317158656536,608.5224942322316,2366.954210097885,0.7429090551747234,0.2570909448252766,0.9809179826420582,1816.7830664474616,608.5224942322316,2425.3055606796934,0.7490945041738605,0.2509054958261394,1.0051000681479623,-2.405938102308852,1.2916593852172762,1.7897227833476392,12.51756011046756,0.2369490774470053,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,20.0
2023-03-16,16836711.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1765185569655122659708' '588741838354684118048'],16832006.0,1001881257038486425,2412.9991008245165,['2417447661712959903687' '50000'],0.5,2417447661712959903687,50000,2417538572366804086690,9.0910653844183e+16,2.417493117039882e+21,1.0018624193493606,1765.1855696551227,588.7418383546841,2044.7547797643706,588.7418383546841,2633.496618119055,0.7764410121873684,0.2235589878126315,1.0913790300291428,1837.277173728059,588.7418383546841,2426.0190120827433,0.7573218365468423,0.24267816345315768,1.0053957381309333,8.552183845343878,1.2738757798307057,0.0,14.856673079252621,-8.552183845343878,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-17,16843830.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1740576556387791578927' '574292025826308588550'],16843647.0,1001871529351871814,2372.9991008245165,['2377432169455774505657' '50000'],0.5,2377432169455774505657,50000,2377440238293675055102,8068837900549445.0,2.3774362038747246e+21,1.0018698292168196,1740.5765563877915,574.2920258263086,2139.138591440785,574.2920258263086,2713.430617267094,0.7883520506580254,0.21164794934197456,1.1434604489838585,1811.6631084868209,574.2920258263086,2385.9551343131297,0.7593030910065136,0.24069690899348625,1.005459771764815,13.725131635731206,1.2263817122447496,0.0,14.38642534251776,-13.725131635731207,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-18,16850946.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1733261436892496023238' '580655304756711060147'],16848404.0,1001871878664313436,2371.9991008245165,['2376439195333120619078' '50000'],0.5,2376439195333120619078,50000,2376439195333120617488,0.0,2.3764391953331205e+21,1.0018718786643135,1733.261436892496,580.6553047567111,2223.9069641759593,580.6553047567111,2804.56226893267,0.7929604519076375,0.20703954809236258,1.1823622816542354,1804.0492336042919,580.6553047567111,2384.704538361003,0.7565084917581476,0.24349150824185245,1.0053564259497696,17.606278841580657,1.1607746378448323,0.0,13.311457263997053,-17.60627884158068,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-19,16858067.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1733261436892496023238' '580655344756711060147'],16854131.0,1001871878669538818,2371.999141695493,['2376439236292997445590' '50000'],0.5,2376439236292997445590,50000,2376439236292997444724,0.0,2.3764392362929973e+21,1.0018718786695386,1733.261436892496,580.6553447567111,2275.7750629225907,580.6553447567111,2856.430407679302,0.7967199399657481,0.2032800600342519,1.2042291067768007,1804.0492336042919,580.6553447567111,2384.704578361003,0.7565084790688024,0.2434915209311977,1.005356425490284,19.781311010125794,1.1027358874557769,0.0,12.911536074029582,-19.781311010125783,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-20,16865181.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1863247625135079304832' '594734413380867808990'],16861299.0,1001879890920616355,2519.7153807563877,['2524446388561000001554' '50000'],0.5,2524446388561000001554,50000,2524452170823209003270,5782262209001716.0,2.5244492796921045e+21,1.001878743516776,1863.2476251350793,594.7344133808679,2489.393790712504,594.7344133808679,3084.128204093372,0.8071628758520759,0.19283712414792412,1.2239986419289763,1939.3441627400864,594.7344133808679,2534.0785761209545,0.7653054569873445,0.23469454301265538,1.0057003245184999,21.706099927430305,1.0597809870660926,0.0,11.643385507914264,-21.706099927430316,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-21,16872313.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1863247625135079304832' '594734413380867808990'],16861299.0,1001879890920616355,2519.7153807563877,['2524446388561000001554' '50000'],0.5,2524446388561000001554,50000,2524452170823209003270,5782262209001716.0,2.5244492796921045e+21,1.001878743516776,1863.2476251350793,594.7344133808679,1870.5844750476963,594.7344133808679,2465.318888428564,0.7587596411270099,0.2412403588729901,0.978411652068618,1939.3441627400864,594.7344133808679,2534.0785761209545,0.7653054569873445,0.23469454301265538,1.0057003245184999,-2.7133999845278853,1.006791937712788,0.0,14.074898247033612,2.035049988395904,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-22,16879428.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1879011629893052114947' '578981531564063664297'],16874144.0,1001882460179379183,2519.7153807563877,['2524446388561000001554' '50000'],0.5,2524446388561000001554,50000,2524458644624030844110,1.2256063030842556e+16,2.5244525165925153e+21,1.0018800281461573,1879.011629893052,578.9815315640636,1876.1726791775986,578.9815315640636,2455.154210741662,0.7641771221412758,0.2358228778587243,0.9743775941886956,1955.7519821819951,578.9815315640636,2534.7335137460586,0.7715809064644463,0.2284190935355537,1.0059602497585114,-3.139553036752439,0.9642951809471502,0.0,14.20075681330194,2.3311181297886905,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-23,16886553.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1893951689726474202716' '564091718139605726633'],16885788.0,1001886463495171922,2519.7153807563877,['2524446388561000001554' '50000'],0.5,2524446388561000001554,50000,2524468731840407833519,2.2343279407831964e+16,2.524457560200704e+21,1.0018820298040538,1893.9516897264741,564.0917181396057,1987.6279961448558,564.0917181396057,2551.7197142844616,0.7789366461442317,0.22106335385576822,1.0127015669200172,1971.3022061232891,564.0917181396057,2535.393924262895,0.7775131853313083,0.22248681466869175,1.0062223470262743,0.6439153247680465,0.923123681370901,0.0,11.745404257884555,-0.6439153247680436,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-24,16893657.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1873199618041657438843' '584795625562936137567'],16892512.0,1001885767657822675,2519.7155177049844,['2524463673551388983998' '50000'],0.5,2524463673551388983998,50000,2524467115735186534687,3442183797550689.0,2.5244653946432877e+21,1.0018850846077376,1873.1996180416575,584.7956255629362,1829.8312261064304,584.7956255629362,2414.6268516693667,0.7578111809869776,0.24218881901302233,0.9582934401533809,1949.7026030733211,584.7956255629362,2534.4982286362574,0.7692657193618958,0.2307342806381042,1.005866817435302,-4.729590086610156,0.8676650703766955,0.0,12.107692153053852,2.8847464476071094,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-25,16900778.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1855208256036622451371' '602835620920565700064'],16898382.0,1001900047706773375,2519.716030341677,['2524465908404443792964' '50000'],0.5,2524465908404443792964,50000,2524503611006847890280,3.770260240409731e+16,2.5244847597056463e+21,1.0018925661886282,1855.2082560366225,602.8356209205657,1879.8022641598343,602.8356209205657,2482.6378850804,0.7571793999667241,0.24282060003327588,0.9852847920897462,1930.9764593157631,602.8356209205657,2533.8120802363287,0.7620835319151453,0.23791646808485467,1.0055943009946007,-2.019652347349923,0.8165859760467922,0.0,12.59297580279248,1.499591867907314,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-26,16907900.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1711602283735269138002' '551295689402163033618'],16906113.0,1001892892251791165,2319.697082504684,['2324088019138659736057' '50000'],0.5,2324088019138659736057,50000,2324088019138659734375,0.0,2.3240880191386597e+21,1.0018928922517911,1711.602283735269,551.295689402163,1699.9058468616654,551.295689402163,2251.2015362638285,0.7551104685557773,0.24488953144422257,0.9704722022726787,1781.5055031421016,551.295689402163,2332.8011925442647,0.7636765228155197,0.23632347718448032,1.005649060878859,-3.497925864459966,0.777378249258546,0.0,14.0256385851394,2.571237854817903,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
2023-03-27,16915022.0,"['0x9559Aaa82d9649C7A7b220E7c461d2E74c9a3593', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['1711602283735269138002' '551295789402163033618'],16910797.0,1001892892265300853,2319.697184870084,['2324088121729164887796' '50000'],0.5,2324088121729164887796,50000,2324088121729164885613,0.0,2.3240881217291648e+21,1.0018928922653008,1711.602283735269,551.295789402163,1726.1605921590012,551.295789402163,2277.456381561164,0.7579335464487547,0.24206645355124543,0.9817903804063608,1781.5055031421016,551.295789402163,2332.8012925442645,0.7636764900790614,0.23632350992093865,1.0056490596098706,-2.372465720075898,0.738509305138,0.0,14.641220915319614,1.72650083679295,0xB08885e6026bab4333A80024Ec25a1a3e1FF2b8A,100.0
