timestamp,block,tokens,balances,lastChangeBlock,rate,lp_token_total_supply,invariant_data,protocol_swap_fee_percent,lastInvariant,amplificationParameter,unscaled_invariant,delta,scaled_invariant,lp_token_virtual_price,pool_balance_0,pool_balance_1,pool_balance_market_0,pool_balance_market_1,market_eth_tvl,pool_balance_market_portion_0,pool_balance_market_portion_1,lp_token_market_eth_value,pool_balance_equilibrium_0,pool_balance_equilibrium_1,equilibrium_eth_tvl,pool_balance_equilibrium_portion_0,pool_balance_equilibrium_portion_1,lp_token_equilibrium_eth_value,lp_token_discount_percent,raw_base_apr,raw_fee_apr,raw_incentive_apr,raw_price_apr,pool_address,upper_bound_nav_percent
2023-03-13,16815367.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xBe9895146f7AF43049ca1c1AE358B0541Ea49704']",['798226537853976062637' '2244268174891883192871'],16814473.0,1004635552785115029,3176.6159539108507,['3191276205392045560943' '50000'],0.5,3191276205392045560943,50000,3191341324843243042068,6.511945119748113e+16,3.191308765117644e+21,1.0046253029701953,798.2265378539761,2244.268174891883,885.9566090363021,2248.624037328969,3134.5806463652707,0.2826395964843401,0.71736040351566,0.9867672680124178,889.1642641966812,2309.8274689924374,3198.9917331891183,0.2779514104308926,0.7220485895691074,1.007043904457736,-2.0134808776025084,2.2897492854232917,1.8864491572533675,8.250375085219414,0.2655290749565363,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,100.0
2023-03-14,16822492.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xBe9895146f7AF43049ca1c1AE358B0541Ea49704']",['1095022189480808960238' '2732301254855887226957'],16822328.0,1004893319852425267,4005.927793867654,['4025530079868768829540' '50000'],0.5,4025530079868768829540,50000,4025530079868768827554,0.0,4.025530079868769e+21,1.0048933198524252,1095.022189480809,2732.3012548558872,1215.762857076577,2747.0202222940457,3962.7830793706225,0.3067952074908089,0.6932047925091911,0.9892297822833755,1220.0416140277603,2812.7560207472034,4032.7976347749636,0.30252983772537856,0.6974701622746214,1.0067075200278053,-1.7361286567072627,2.404417578853921,7.33315937891556,6.374667074752637,0.24010788288434215,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,100.0
2023-03-15,16829610.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xBe9895146f7AF43049ca1c1AE358B0541Ea49704']",['1191089282995772045421' '2925113244625533972691'],16829604.0,1005117611410554924,4309.3475498594635,['4330464988926878798897' '50000'],0.5,4330464988926878798897,50000,4331401116052670713313,9.361271257919144e+17,4.3309330524897747e+21,1.0050089955336778,1191.089282995772,2925.1132446255338,1325.1490035734098,2971.60764667308,4296.75665024649,0.30840680807403664,0.6915931919259634,0.9970782352856676,1327.2753107164174,3011.634978518701,4338.910289235118,0.30590061149902115,0.6940993885009789,1.0068601427556287,-0.9715259403544823,2.4494708349953336,1.7521317454055843,6.811429062871514,0.12670014332758972,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,100.0
2023-03-16,16836711.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xBe9895146f7AF43049ca1c1AE358B0541Ea49704']",['1458340841497877454865' '2631236456915641113263'],16836300.0,1005175095464319030,4309.581629832141,['4331207537779441332205' '50000'],0.5,4331207537779441332205,50000,4331884126177797848413,6.765883983565162e+17,4.3315458319786196e+21,1.0050965973110793,1458.3408414978774,2631.236456915641,1624.8880651280845,2676.519641585867,4301.4077067139515,0.377757277598178,0.6222427224018219,0.9981033140057942,1625.3278936598872,2709.3860019054455,4334.713895565333,0.3749562099871674,0.6250437900128326,1.0058317182250869,-0.7683595654480231,2.5020066339099043,0.6795219786312101,6.715055741194127,0.08079668741376875,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,100.0
2023-03-17,16843830.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xBe9895146f7AF43049ca1c1AE358B0541Ea49704']",['1544429863349573484032' '2537278442521553176257'],16842957.0,1005335140780701130,4309.581629832141,['4331207537779441332205' '50000'],0.5,4331207537779441332205,50000,4332573854533218819575,1.3663167537774874e+18,4.33189069615633e+21,1.0051766199692702,1544.4298633495735,2537.278442521553,1716.9173286916694,2579.730472495423,4296.647801187092,0.3995946161138257,0.6004053838861743,0.9969988203598427,1721.527309194507,2612.9207386513854,4334.448047845893,0.3971733632959475,0.6028266367040525,1.0057700306316557,-0.872089046668496,2.504211302968315,0.40180492650062805,7.5274881640297036,0.15294097993528732,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,100.0
2023-03-18,16850946.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xBe9895146f7AF43049ca1c1AE358B0541Ea49704']",['1436343048188182682988' '2396293353049142717693'],16850004.0,1005285588040604994,4046.007852384227,['4067111861199926282581' '50000'],0.5,4067111861199926282581,50000,4067393383100983026452,2.8152190105674387e+17,4.0672526221504545e+21,1.005250797957228,1436.3430481881826,2396.2933530491428,1598.7911661662092,2437.415715228613,4036.206881394822,0.39611229383110885,0.6038877061688912,0.9975776193850862,1601.306867492246,2467.9795210782054,4069.2863885704514,0.39351048675018135,0.6064895132498186,1.0057534579851364,-0.8129068346858271,2.4929873018574535,0.20056575804535148,7.681382067829935,0.11742222470944907,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,100.0
2023-03-19,16858067.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xBe9895146f7AF43049ca1c1AE358B0541Ea49704']",['1332456410661659245822' '2370032202068863916215'],16857844.0,1005378696553991249,3903.4509634694305,['3923956096959716387266' '50000'],0.5,3923956096959716387266,50000,3924446441715317522144,4.9034475560113485e+17,3.924201269337517e+21,1.0053158874191783,1332.4564106616592,2370.032202068864,1485.61031833606,2398.536513845387,3884.1468321814473,0.38248047319614303,0.6175195268038569,0.995054598746432,1485.675908643967,2441.188992430491,3926.864901074458,0.37833639457203133,0.6216636054279686,1.0059982661045694,-1.0878415725817865,2.471836730615185,0.0,7.896556771742098,0.10298174224610848,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,100.0
2023-03-20,16865181.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xBe9895146f7AF43049ca1c1AE358B0541Ea49704']",['1189859374312652594123' '2526348932229922644734'],16864854.0,1005461202863686910,3903.4573961843134,['3924215651273120385229' '50000'],0.5,3924215651273120385229,50000,3924774968894635081935,5.593176215146967e+17,3.9244953100838775e+21,1.0053895589894561,1189.8593743126526,2526.348932229923,1326.6732183535564,2553.880206071224,3880.5534244247806,0.34187732347743954,0.6581226765225605,0.9941323884354619,1326.836958472416,2602.4608632249233,3929.2978216973393,0.33767788003894855,0.6623221199610515,1.0066198815281768,-1.2405371006339858,2.4350348210455808,0.23975859343400163,7.70890380997848,0.11776378605890257,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,100.0
2023-03-21,16872313.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xBe9895146f7AF43049ca1c1AE358B0541Ea49704']",['1149480157318752309611' '2601204728103160486449'],16872034.0,1005561448470046060,3934.5856615394005,['3955816515750587596487' '50000'],0.5,3955816515750587596487,50000,3956467656947033937934,6.511411964463415e+17,3.9561420863488105e+21,1.0054787026293834,1149.4801573187524,2601.2047281031605,1281.927669391809,2631.0391198193865,3912.9667892111956,0.32761015833978735,0.6723898416602127,0.9945054259360702,1282.1111835670863,2679.8553902804606,3961.966573847547,0.32360474518642945,0.6763952548135705,1.0069590332155671,-1.2367541149840326,2.4186521849419362,0.8176484392823355,7.384988177182525,0.11657603637099329,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,100.0
2023-03-22,16879428.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0xBe9895146f7AF43049ca1c1AE358B0541Ea49704']",['1345781065023846723330' '2942968490313715379863'],16879334.0,1005572140054950788,4502.727916881343,['4527817747463542166256' '50000'],0.5,4527817747463542166256,50000,4527817747463542163135,0.0,4.5278177474635424e+21,1.0055721400549509,1345.7810650238466,2942.9684903137154,1499.752486554838,2968.0517913757153,4467.804277930553,0.3356799880341916,0.6643200119658085,0.9922438931253528,1501.2569447277579,3032.2609106327923,4533.51785536055,0.331146141390539,0.668853858609461,1.0068380632913154,-1.44950520824122,2.4123481510645477,0.9795347643001948,6.4665384068919405,0.15359928176388743,0x9c6d47Ff73e0F5E51BE5FD53236e3F595C5793F2,100.0
