timestamp,block,tokens,balances,lastChangeBlock,lp_token_virtual_price,lp_token_total_supply,protocol_swap_fee_percent,pool_balance_0,pool_balance_2,pool_balance_3,pool_balance_market_0,pool_balance_market_2,pool_balance_market_3,market_eth_tvl,pool_balance_market_portion_0,pool_balance_market_portion_2,pool_balance_market_portion_3,lp_token_market_eth_value,pool_balance_equilibrium_0,pool_balance_equilibrium_2,pool_balance_equilibrium_3,equilibrium_eth_tvl,pool_balance_equilibrium_portion_0,pool_balance_equilibrium_portion_2,pool_balance_equilibrium_portion_3,lp_token_equilibrium_eth_value,lp_token_discount_percent,raw_base_apr,raw_fee_apr,raw_incentive_apr,raw_price_apr,pool_address,upper_bound_nav_percent,name
2023-04-27,17133820.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0x8e85e97ed19C0fa13B2549309965291fbbc0048b', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['8989197784513465653' '2596148429267421127339070190358318'
 '10136873399492239142' '8458311213937995539']",17091788.0,1.0239562534472122,28.88739253021959,0.5,8.989197784513467,10.13687339949224,8.458311213937996,10.063780499183089,10.438491885577726,9.030818337104884,29.533090721865698,0.34076286135985323,0.3534507100487549,0.30578642859139193,1.0223522490294212,10.073906831130627,10.499736063069669,9.030781009931939,29.604423904132236,0.34028383270530366,0.35466780563171496,0.30504836166298127,1.0248216024745933,-0.24095446848597163,2.5487893726071063,0.0,206.07444314558913,0.1806843297470738,0x8e85e97ed19C0fa13B2549309965291fbbc0048b,100.0,balancer_wstETH_sfrxETH_rETH
2023-04-28,17140930.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0x8e85e97ed19C0fa13B2549309965291fbbc0048b', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['8989197784513465653' '2596148429267421127339070190358318'
 '10136873399492239142' '8458311213937995539']",17091788.0,1.0239562534472122,28.88739253021959,0.5,8.989197784513467,10.13687339949224,8.458311213937996,10.067203705291009,10.438491885577726,9.032653290338928,29.53834888120766,0.3408180919582739,0.35338779183486146,0.3057941162068647,1.0225342716656443,10.075301497445919,10.50166744387226,9.031860962881554,29.60882990419973,0.34028029915551755,0.35468025848541546,0.30503944235906705,1.0249741257617984,-0.2380405548618815,2.5456556215440616,0.0,203.73581927520488,0.17786142022532117,0x8e85e97ed19C0fa13B2549309965291fbbc0048b,100.0,balancer_wstETH_sfrxETH_rETH
2023-04-29,17148051.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0x8e85e97ed19C0fa13B2549309965291fbbc0048b', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['8989197784513465653' '2596148429267421127339070190358318'
 '10136873399492239142' '8458311213937995539']",17091788.0,1.0239562534472122,28.88739253021959,0.5,8.989197784513467,10.13687339949224,8.458311213937996,10.072764600566872,10.438491885577726,9.036881295824518,29.548137781969114,0.34089338133225716,0.353270719210857,0.30583589945688594,1.0228731357826188,10.076627640910791,10.503588941142546,9.033838377110763,29.6140549591641,0.34026504154212656,0.35468256392534986,0.3050523945325236,1.0251550024179004,-0.22258747505494994,2.556109541367272,0.0,203.17637423030357,0.1643717933424561,0x8e85e97ed19C0fa13B2549309965291fbbc0048b,100.0,balancer_wstETH_sfrxETH_rETH
2023-04-30,17155164.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0x8e85e97ed19C0fa13B2549309965291fbbc0048b', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['8989197784513465653' '2596148429267421127339070190358318'
 '10136873399492239142' '8458311213937995539']",17091788.0,1.0239562534472122,28.88739253021959,0.5,8.989197784513467,10.13687339949224,8.458311213937996,10.064603669524622,10.438491885577726,9.043736439744917,29.546831994847267,0.3406322434594616,0.3532863315904093,0.3060814249501291,1.0228279331178065,10.077863024522987,10.505480464904592,9.034731301126673,29.61807479055425,0.3402605704722241,0.35469828944638165,0.3050411400813943,1.0252941576353864,-0.24053823960801066,2.5685704337373814,0.0,201.12516935780516,0.17280262977119593,0x8e85e97ed19C0fa13B2549309965291fbbc0048b,100.0,balancer_wstETH_sfrxETH_rETH
2023-05-01,17162287.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0x8e85e97ed19C0fa13B2549309965291fbbc0048b', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['8989197784513465653' '2596148429267421127339070190358318'
 '10136873399492239142' '8458311213937995539']",17091788.0,1.0239562534472122,28.88739253021959,0.5,8.989197784513467,10.13687339949224,8.458311213937996,10.065143515498537,10.438491885577726,9.034230867500243,29.537866268576508,0.3407539130951451,0.35339356575943964,0.3058525211454152,1.02251756497844,10.079126033929844,10.507366917715991,9.035591892190192,29.622084843836028,0.3402571455407596,0.35471395660060834,0.305028897858632,1.0254329743623578,-0.2843100872322502,2.576320336615054,0.0,199.4243539493567,0.2132325654241893,0x8e85e97ed19C0fa13B2549309965291fbbc0048b,100.0,balancer_wstETH_sfrxETH_rETH
2023-05-02,17169396.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0x8e85e97ed19C0fa13B2549309965291fbbc0048b', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['8989197784513465653' '2596148429267421127339070190358318'
 '10136873399492239142' '8458311213937995539']",17091788.0,1.0239562534472122,28.88739253021959,0.5,8.989197784513467,10.13687339949224,8.458311213937996,10.075748412845666,10.438491885577726,9.043304236946293,29.557544535369686,0.34088584052672716,0.35315829002935706,0.30595586944391573,1.0231987710365011,10.080685997790514,10.509251249671138,9.036585199760523,29.626522447222175,0.3402588344868567,0.3547244287071735,0.3050167368059698,1.02558659166726,-0.2328248682421855,2.5755691741810742,0.0,202.9998172660607,0.16894886898079958,0x8e85e97ed19C0fa13B2549309965291fbbc0048b,100.0,balancer_wstETH_sfrxETH_rETH
2023-05-03,17176507.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0x8e85e97ed19C0fa13B2549309965291fbbc0048b', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['8989197784513465653' '2596148429267421127339070190358318'
 '10136873399492239142' '8458311213937995539']",17091788.0,1.0239562534472122,28.88739253021959,0.5,8.989197784513467,10.13687339949224,8.458311213937996,10.073507637480093,10.438491885577726,9.049699433815256,29.561698956873073,0.34076213455038956,0.35310865930967694,0.30612920613993355,1.0233425853838514,10.082409359052528,10.511124017421956,9.03886689173098,29.632400268205462,0.3402494994599072,0.3547172663127134,0.3050332342273795,1.0257900652406238,-0.23859461499057216,2.593900998761155,0.0,203.9383489192345,0.1698068584481564,0x8e85e97ed19C0fa13B2549309965291fbbc0048b,100.0,balancer_wstETH_sfrxETH_rETH
2023-05-04,17183607.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0x8e85e97ed19C0fa13B2549309965291fbbc0048b', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['8989197784513465653' '2596148429267421127339070190358318'
 '10136873399492239142' '8458311213937995539']",17091788.0,1.0239562534472122,28.88739253021959,0.5,8.989197784513467,10.13687339949224,8.458311213937996,10.07411451412215,10.438491885577726,9.044028937578364,29.55663533727824,0.34084104632221773,0.35316915360836765,0.3059898000694146,1.023167297164621,10.084055906695259,10.51296299904592,9.039875762064563,29.63689466780574,0.3402534583911541,0.35472552427923715,0.30502101732960873,1.0259456486701624,-0.2708088395464814,2.616284056024677,0.0,199.631266252464,0.19960324683218658,0x8e85e97ed19C0fa13B2549309965291fbbc0048b,100.0,balancer_wstETH_sfrxETH_rETH
2023-05-05,17190730.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0x8e85e97ed19C0fa13B2549309965291fbbc0048b', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['8989197784513465653' '2596148429267421127339070190358318'
 '10136873399492239142' '8458311213937995539']",17091788.0,1.0239562534472122,28.88739253021959,0.5,8.989197784513467,10.13687339949224,8.458311213937996,10.077341655111756,10.438491885577726,9.051267321378152,29.567100862067633,0.3408295491033491,0.3530441464069792,0.3061263044896717,1.023529584095795,10.085676793228853,10.514868931498071,9.041038144289606,29.64158386901653,0.34025431426999797,0.3547337071447438,0.30501197858525825,1.0261079755816649,-0.2512787686313726,2.6401073385124003,0.0,200.3237578588762,0.1798316890726397,0x8e85e97ed19C0fa13B2549309965291fbbc0048b,100.0,balancer_wstETH_sfrxETH_rETH
2023-05-06,17197859.0,"['0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0', '0x8e85e97ed19C0fa13B2549309965291fbbc0048b', '0xac3E018457B222d93114458476f3E3416Abbe38F', '0xae78736Cd615f374D3085123A210448E74Fc6393']","['8989197784513465653' '2596148429267421127339070190358318'
 '10136873399492239142' '8458311213937995539']",17091788.0,1.0239562534472122,28.88739253021959,0.5,8.989197784513467,10.13687339949224,8.458311213937996,10.067401397320427,10.438491885577726,9.042003358757556,29.54789664165571,0.34071465456284683,0.35327360225234655,0.30601174318480656,1.0228647881855435,10.087368335549721,10.516747985632183,9.042059939988972,29.64617626117088,0.3402586642771083,0.35474213918799735,0.3049991965348942,1.0262669512368592,-0.33150858528722893,2.6495165405420167,0.0,199.45237804177998,0.24863143896541615,0x8e85e97ed19C0fa13B2549309965291fbbc0048b,100.0,balancer_wstETH_sfrxETH_rETH
