timestamp,lp_token_total_supply,lp_token_virtual_price,pool_balance_0,pool_balance_1,block,pool_balance_market_0,pool_balance_market_1,market_eth_tvl,pool_balance_market_portion_0,pool_balance_market_portion_1,lp_token_market_eth_value,pool_balance_equilibrium_0,pool_balance_equilibrium_1,equilibrium_eth_tvl,pool_balance_equilibrium_portion_0,pool_balance_equilibrium_portion_1,lp_token_equilibrium_eth_value,lp_token_discount_percent,raw_base_apr,raw_fee_apr,raw_incentive_apr,raw_price_apr,tokens,pool_address
2022-01-02,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-03,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-04,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-05,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-06,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-07,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-08,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-09,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-10,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-11,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-12,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-13,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-14,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-15,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-16,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-17,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-18,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-19,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-20,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-21,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-22,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-23,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-24,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-25,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-26,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-27,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-28,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-29,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-30,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-01-31,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-02-01,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-02-02,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-02-03,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
2022-02-04,,,,,,,,,,,,,,,,,,,,,,,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0x7f39C581F595B53c5cb19bD0b3f8dA6c935E2Ca0']",0x447Ddd4960d9fdBF6af9a790560d0AF76795CB08
