timestamp,tokens,balances,lastChangeBlock,rate,lp_token_total_supply,invariant_data,protocol_swap_fee_percent,block,lastInvariant,amplificationParameter,unscaled_invariant,delta,scaled_invariant,lp_token_virtual_price,pool_balance_0,pool_balance_1,pool_balance_market_0,pool_balance_market_1,market_eth_tvl,pool_balance_market_portion_0,pool_balance_market_portion_1,lp_token_market_eth_value,pool_balance_equilibrium_0,pool_balance_equilibrium_1,equilibrium_eth_tvl,pool_balance_equilibrium_portion_0,pool_balance_equilibrium_portion_1,lp_token_equilibrium_eth_value,lp_token_discount_percent,raw_base_apr,raw_fee_apr,raw_incentive_apr,raw_price_apr,pool_address
2023-03-27,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['18350195585625798112623' '25314289161764021235329'],16914939.0,1020680993625663260,43922.36020245149,['44830713364591738391825' '50000'],0.5,16915022.0,44830713364591738391825,50000,44830718253822476565078,4889230738173253,4.483071580920711e+22,1.0206809379680128,18350.1955856258,25314.28916176402,19601.614273063224,25314.28916176402,44915.90343482724,0.43640699115637455,0.5635930088436255,1.0226204427038121,19523.88086788512,25314.28916176402,44838.17002964914,0.43542992176029927,0.5645700782397007,1.0208506515354914,0.17336435703486813,0.8836309957936199,0.0,5.425408376941283,-0.17336435703486852,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276
2023-03-28,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['18470356838874470823793' '25183124549755120196821'],16922082.0,1020703666517973155,43920.52195629756,['44829735909634237228126' '50000'],0.5,16922137.0,44829735909634237228126,50000,44829837796176067225634,101886541829997508,4.482978685290515e+22,1.0207025066212176,18470.35683887447,25183.12454975512,19760.87031991949,25183.12454975512,44943.994869674614,0.4396776560966743,0.5603223439033256,1.023302840398742,19653.499332399897,25183.12454975512,44836.62388215502,0.43833584312805474,0.5616641568719452,1.0208581748361054,0.23947161544052414,0.6523435099113858,0.11896103070471786,5.4218513311515615,-0.23947161544053377,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276
2023-03-29,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['18480464521387347578455' '25171259214265720264859'],16928863.0,1020766106797138580,43920.594514167766,['44830989998526163868423' '50000'],0.5,16929248.0,44830989998526163868423,50000,44832654270442788839925,1664271916624971502,4.483182213448448e+22,1.0207471604243148,18480.46452138735,25171.25921426572,19770.574220617807,25171.25921426572,44941.83343488353,0.4399147233114889,0.5600852766885112,1.0232519375480296,19668.11491492138,25171.25921426572,44839.3741291871,0.43863491176873726,0.5613650882312629,1.0209191069743593,0.22850297910320877,0.9739697618517619,0.6228361659020875,5.689233353404832,-0.22850297910320244,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276
2023-03-30,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['18451603899147766748181' '25138201851808265584581'],16936306.0,1020791154567681752,43858.838738754064,['44768837772122452511912' '50000'],0.5,16936361.0,44768837772122452511912,50000,44770714634130530361632,1876862008077849720,4.476977620312649e+22,1.0207697579454496,18451.603899147765,25138.201851808266,19735.561995324977,25138.201851808266,44873.76384713325,0.4398017973833452,0.5601982026166548,1.0231407200364926,19639.23185637958,25138.201851808266,44777.43370818785,0.43859663741266214,0.5614033625873378,1.0209443522867856,0.21513099561081964,1.0134118067046112,0.0,5.661128447303799,-0.2151309956108153,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276
2023-03-31,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['18092046276426665306163' '25543892353259162196329'],16943277.0,1020819136166954987,43879.69344601036,['44791388098079020811472' '50000'],0.5,16943479.0,44791388098079020811472,50000,44793230758827088877248,1842660748068065776,4.479230942845305e+22,1.0207981394301575,18092.046276426667,25543.89235325916,19364.550153364915,25543.89235325916,44908.44250662408,0.4312006623366777,0.5687993376633222,1.023444764077021,19258.15284881263,25543.89235325916,44802.04520207179,0.42984985979885737,0.5701501402011426,1.0210200136697922,0.23748314183515795,0.9776257834157103,0.037220300901749104,5.5246526981281,-0.23748314183514296,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276
2023-04-01,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['18212451291563164938722' '25444631316415890011891'],16950419.0,1020819368446840178,43910.31493900005,['44824474301377950242552' '50000'],0.5,16950603.0,44824474301377950242552,50000,44824499964331881104966,25662953930862414,4.4824487132854915e+22,1.0208190762267324,18212.451291563164,25444.63131641589,19484.15265904296,25444.63131641589,44928.78397545885,0.4336674829589347,0.5663325170410652,1.0231943004251656,19388.034973503345,25444.63131641589,44832.66628991923,0.4324533108989506,0.5675466891010494,1.021005345832762,0.21439207946734806,0.699966335390167,0.04865677182868999,5.469331630592823,-0.21439207946734568,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276
2023-04-02,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['18488305507992147828828' '25149205055070312277141'],16957218.0,1020837889427907829,43910.795023795734,['44825793251962010943856' '50000'],0.5,16957717.0,44825793251962010943856,50000,44825803315193111989664,10063231101045808,4.482579828357756e+22,1.0208377748406965,18488.305507992147,25149.205055070313,19816.63814416394,25149.205055070313,44965.84319923425,0.440704248697407,0.559295751302593,1.0240270797845217,19684.778958743354,25149.205055070313,44833.984013813664,0.43905932947378346,0.5609406705262167,1.021024192103961,0.2941054388116819,0.879969579223963,0.0,5.497027105434552,-0.2941054388116798,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276
2023-04-03,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['17711081063245001177060' '25887635677560081607047'],16964507.0,1020902416496832137,43819.533043021394,['44733613293400447010433' '50000'],0.5,16964816.0,44733613293400447010433,50000,44735467173383323059690,1853879982876049257,4.473454023339188e+22,1.020881262916977,17711.081063245,25887.635677560083,19008.26568473108,25887.635677560083,44895.90136229116,0.42338532266770457,0.5766146773322955,1.0245636647522693,18858.92125836042,25887.635677560083,44746.556935920504,0.42146083519604466,0.5785391648039554,1.0211554945596744,0.3337562409204485,0.8551976498240058,0.6997161899255132,5.527866281710375,-0.33375624092045436,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276
2023-04-04,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['17383377820365470356684' '26237631487414616877892'],16971541.0,1020904503294942481,43819.830474739334,['44735856396462252152139' '50000'],0.5,16971894.0,44735856396462252152139,50000,44735862265282340109231,5868820087957092,4.473585933087229e+22,1.0209044363295978,17383.37782036547,26237.631487414616,18621.619237541523,26237.631487414616,44859.25072495614,0.41511213265053326,0.5848878673494667,1.0237203165543052,18511.697724586105,26237.631487414616,44749.329212000725,0.4136754237563342,0.5863245762436657,1.0212118286901455,0.24563834786140276,0.8501376905553344,0.0,5.668462079824306,-0.24563834786139843,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276
2023-04-05,"['0xae78736Cd615f374D3085123A210448E74Fc6393', '0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2']",['17786161723529308710343' '25903135426075836152263'],16978869.0,1020950063129390337,43914.50551186059,['44832559011961243697195' '50000'],0.5,16978915.0,44832559011961243697195,50000,44834517174630028591370,1958162668784894175,4.483353809329564e+22,1.0209277679601068,17786.16172352931,25903.135426075834,18963.935598548782,25903.135426075834,44867.071024624616,0.42266934670508605,0.577330653294914,1.021691363745557,18942.228347543503,25903.135426075834,44845.363773619334,0.4223898916990485,0.5776101083009516,1.021197056665191,0.04840467147253853,0.6828485208356212,0.15131820748027314,5.756859628617633,-0.04840467147252269,0x1E19CF2D73a72Ef1332C882F20534B6519Be0276
